id,haor_id,name,start_chainage,finish_chainage,length,volume,vent_no,dpp_cost,worktype_id,contract_status,work_status
376,13,Resectioning of Submersible Embankment along the left bank of Bashira River in between km 2.420 to km 9.760,2.42,9.76,7,,,,2,HAVE_NO_CONTRACT,OG
330,13,Sutki River,13.1,17.6,4.5,0,0,0,3,HAVE_NO_CONTRACT,OG
329,13,Ratna River,0,10,8.614,0,0,0,4,HAVE_NO_CONTRACT,OG
328,13,Purohogun khal,0,2.428,2.428,0,0,0,3,HAVE_NO_CONTRACT,OG
327,13,Chatal beel Khal,0,5.217,5.217,0,0,0,3,HAVE_NO_CONTRACT,OG
326,13,Soay beel khal,0.094,3.379,3.285,0,0,0,3,HAVE_NO_CONTRACT,OG
325,13,Salukadar Khal,0,2.428,2.428,0,0,0,3,HAVE_NO_CONTRACT,OG
324,13,Islampur Khal,0.157,0.791,0.634,0,0,0,3,HAVE_NO_CONTRACT,OG
323,13,Rajendrapur Khal,0,4.327,4.327,0,0,0,3,HAVE_NO_CONTRACT,OG
322,13,Chhotokatari Khal,0.184,3.448,3.264,0,0,0,3,HAVE_NO_CONTRACT,OG
321,13,Chargaowdair Khal,0.17,3.206,3.036,0,0,0,3,HAVE_NO_CONTRACT,OG
59,13,4-Vent Regulator at Km7.61 in Mokhar Haor Project ,81.2,81.2,0,0,4,0,5,HAVE_NO_CONTRACT,OG
12,13,Submersible Embankment at Mokhar Haor in between km 31.600 to 81.749=23.815,31.6,81.74,23.815,256912.018,,,2,HAVE_NO_CONTRACT,OG
387,12,Construction of 2 vent regulator (1.50X1.80),-0.002,,,,,,5,HAVE_NO_CONTRACT,OG
386,12,Construction pf New-regulator 1 vent (1.50m X 1.80 m),,,,,1,,5,HAVE_NO_CONTRACT,OG
385,12,Re-excavation of Piyan River from Km 19.000 to 55.575 total 36.575,19,55.575,,,,,4,HAVE_NO_CONTRACT,OG
384,12,XXX,,,,,,,9,HAVE_NO_CONTRACT,OG
383,12,XXXX,,,,,,,3,HAVE_NO_CONTRACT,OG
382,23,Consruction of 4.00 m wide causeway,,,,,,,6,HAVE_NO_CONTRACT,OG
381,23,Cnstruction of 2-Vent Regulator,,,,,2,,5,HAVE_NO_CONTRACT,OG
380,23,Re-excavation of Bashira River in between km 0.000 to 20.000=17.400,0,20,17.399,,,,4,HAVE_NO_CONTRACT,OG
379,23,Re-excavation of Matikata Khal from km 0.000 to 2.295,0,2.295,2.29,,,,3,HAVE_NO_CONTRACT,OG
378,23,Construction of New Embankment along the left bank of Bitangal khal in between km 10.000 to 17.000 =7.000,10,17,17,,,,1,HAVE_NO_CONTRACT,OG
377,23,Resectioning of Submersible Embankment along the left bank of Bashira River in between km 2.420 to km 9.760,2.42,9.76,7,,,,2,HAVE_NO_CONTRACT,OG
375,5,Bata  Khal from km 0.000 to km 2.790,0,2.79,2.79,,,,3,HAVE_NO_CONTRACT,OG
374,14,Construction of Submersible Embankment in between km 12.400 to km 23.260,12.4,23.26,10.857,109155.299,,,2,HAVE_NO_CONTRACT,OG
373,14,Submersible embankment in between km 0.020 to km 12.400=11.750,0.02,12.4,11.75,121987.998,,,2,HAVE_NO_CONTRACT,OG
372,3,Rauli Nadi,0,2.3,2.3,0,0,0,4,HAVE_NO_CONTRACT,OG
371,3,Dora Nadi,0,3.2,3.2,0,0,0,4,HAVE_NO_CONTRACT,OG
370,3,Baur Khal,0,0.6,0.6,0,0,0,3,HAVE_NO_CONTRACT,OG
369,7,Maora Khal,0,1.7,1.7,0,0,0,3,HAVE_NO_CONTRACT,OG
368,7,Chouganga Khal,0,0.2,0.2,0,0,0,3,HAVE_NO_CONTRACT,OG
367,7,Burimara Khal,0,0.5,0.5,0,0,0,3,HAVE_NO_CONTRACT,OG
366,7,Baduti Khal,0,1,1,0,0,0,3,HAVE_NO_CONTRACT,OG
365,7,Bamuna Khal,0,1.5,1.5,0,0,0,3,HAVE_NO_CONTRACT,OG
364,7,Kursi Khal,0,2.9,2.9,0,0,0,3,HAVE_NO_CONTRACT,OG
363,7,Kanala Khal,0,0.6,0.6,0,0,0,3,HAVE_NO_CONTRACT,OG
362,7,Chandrapur Khal,0,0.7,0.7,0,0,0,3,HAVE_NO_CONTRACT,OG
361,7,Sajna Khal,0,1,1,0,0,0,3,HAVE_NO_CONTRACT,OG
360,10,Mozilla Khal,0,1.78,1.78,0,0,0,3,HAVE_NO_CONTRACT,OG
359,10,Mogar Khal,0,0.15,0.15,0,0,0,3,HAVE_NO_CONTRACT,OG
358,6,Suti Nadi,2.527,17.766,15.239,0,0,0,4,HAVE_NO_CONTRACT,OG
357,6,Kalna,0.76,1.94,1.18,0,0,0,3,HAVE_NO_CONTRACT,OG
356,6,Goalkhali Khal,0.48,2.58,2.1,0,0,0,3,HAVE_NO_CONTRACT,OG
355,6,Phuleswari Khal,0.18,3.96,3.78,0,0,0,3,HAVE_NO_CONTRACT,OG
354,4,Gobra Khal,0,3,3,0,0,0,3,HAVE_NO_CONTRACT,OG
353,4,Saitan Khal,0,3,3,0,0,0,3,HAVE_NO_CONTRACT,OG
352,4,Islam Beel Khal,0,4.5,4.5,0,0,0,3,HAVE_NO_CONTRACT,OG
351,4,Banni Link Khal,0,1.5,1.5,0,0,0,3,HAVE_NO_CONTRACT,OG
350,4,Bir Khal,0,2.4,2.4,0,0,0,3,HAVE_NO_CONTRACT,OG
349,4,Banni Khal-2,0,2.9,2.9,0,0,0,3,HAVE_NO_CONTRACT,OG
348,4,Banni Khal-1,0,2.6,2.6,0,0,0,3,HAVE_NO_CONTRACT,OG
347,4,Rajapur Khal,0,2.8,2.8,0,0,0,3,HAVE_NO_CONTRACT,OG
346,4,Dagar Khal,1.2,3.2,2,0,0,0,3,HAVE_NO_CONTRACT,OG
345,4,Baraia Khal,0,2.7,2.7,0,0,0,3,HAVE_NO_CONTRACT,OG
344,4,Khurma Khal,0,9,9,0,0,0,3,HAVE_NO_CONTRACT,OG
343,4,Kolma Khal,3.6,7,3.4,0,0,0,3,HAVE_NO_CONTRACT,OG
342,4,Dahar Gang,0,7,7,0,0,0,3,HAVE_NO_CONTRACT,OG
341,4,Undani Khal,0,4,4,0,0,0,3,HAVE_NO_CONTRACT,OG
340,4,Rui Beel Khal,0,3.5,3.5,0,0,0,3,HAVE_NO_CONTRACT,OG
339,4,Agunia Khal,0,8,8,0,0,0,3,HAVE_NO_CONTRACT,OG
338,4,Dharam khal,0,1.1,1.1,0,0,0,3,HAVE_NO_CONTRACT,OG
337,12,Dariabaz Khal,0,1.5,1.5,0,0,0,3,HAVE_NO_CONTRACT,OG
336,12,Puknarai Khal,0,1.56,1.56,0,0,0,3,HAVE_NO_CONTRACT,OG
335,12,Juringa Khal,0,1.5,1.5,0,0,0,3,HAVE_NO_CONTRACT,OG
334,11,Ukhra Khal,0.11,2.043,1.933,0,0,0,3,HAVE_NO_CONTRACT,OG
333,11,Chapri Khal,0.28,2.59,2.31,0,0,0,3,HAVE_NO_CONTRACT,OG
332,11,Ichamati Khal,0.072,1.25,1.178,0,0,0,3,HAVE_NO_CONTRACT,OG
331,11,Narsua River,0,6.225,6.225,0,0,0,3,HAVE_NO_CONTRACT,OG
320,9,Bantai River,0,1.65,1.65,0,0,0,4,HAVE_NO_CONTRACT,OG
319,9,Shankir Khal,0.41,8.995,8.585,0,0,0,3,HAVE_NO_CONTRACT,OG
318,2,Atoplal River,0,7.113,7.11,0,0,0,4,HAVE_NO_CONTRACT,OG
317,2,Berachapra River,0,15.82,15.82,0,0,0,4,HAVE_NO_CONTRACT,OG
316,2,Neora Khal,0.12,2.635,2.52,0,0,0,3,HAVE_NO_CONTRACT,OG
315,2,Khaiyar Khal,0.495,8.405,7.91,0,0,0,3,HAVE_NO_CONTRACT,OG
314,2,Nandir Khal,0,5.985,5.99,0,0,0,3,HAVE_NO_CONTRACT,OG
313,2,Markhali Khal,1.01,4.12,3.11,0,0,0,3,HAVE_NO_CONTRACT,OG
312,2,Gokhra Khal,0.185,0.91,0.73,0,0,0,3,HAVE_NO_CONTRACT,OG
311,2,Bera Khal,0.52,2.03,1.51,0,0,0,3,HAVE_NO_CONTRACT,OG
310,2,Pangair Dair Khal,0.08,4.36,4.28,0,0,0,3,HAVE_NO_CONTRACT,OG
309,8,Beri Gang,0,3.56,3.56,0,0,0,4,HAVE_NO_CONTRACT,OG
308,8,Kurigai Gang,0,8.38,8.38,0,0,0,4,HAVE_NO_CONTRACT,OG
307,8,Kata Khali Khal,0.2,4,3.8,0,0,0,3,HAVE_NO_CONTRACT,OG
306,8,Samarbari Khal,0,3.99,3.99,0,0,0,3,HAVE_NO_CONTRACT,OG
305,8,Mahinhandra Khal,1,1.9,0.9,0,0,0,3,HAVE_NO_CONTRACT,OG
304,8,Kata Khal,0,0.6,0.6,0,0,0,3,HAVE_NO_CONTRACT,OG
303,14,Jalalpur Khal,0.09,0.457,0.367,0,0,0,3,HAVE_NO_CONTRACT,OG
302,14,Nabinpur Khal,4,6.8,2.8,0,0,0,3,HAVE_NO_CONTRACT,OG
301,14,Maharkona Khal,0.3,3.3,3,0,0,0,3,HAVE_NO_CONTRACT,OG
300,14,Naluar Khal,0.2,0.8,0.6,0,0,0,3,HAVE_NO_CONTRACT,OG
299,14,Lalpur Khal,0.41,4.4,3.99,0,0,0,3,HAVE_NO_CONTRACT,OG
298,1,Old Singua River,7.3,14.4,7.1,0,0,0,4,HAVE_NO_CONTRACT,OG
297,1,Diga Nadi,2.5,8.1,5.6,0,0,0,4,HAVE_NO_CONTRACT,OG
296,1,Suti Khal,0,6.1,6.1,0,0,0,3,HAVE_NO_CONTRACT,OG
295,1,Baniajan Khal,0.16,7.06,6.9,0,0,0,3,HAVE_NO_CONTRACT,OG
294,1,Dampara Khal,0.04,3.6,3.56,0,0,0,3,HAVE_NO_CONTRACT,OG
293,1,Karpasha Khal,0.1,1.615,1.515,0,0,0,3,HAVE_NO_CONTRACT,OG
292,1,Hajirkhali Khal,0.175,1.81,1.635,0,0,0,3,HAVE_NO_CONTRACT,OG
290,5,Goradar Khal,0,2.38,2.38,0,0,0,3,HAVE_NO_CONTRACT,OG
289,5,Bamon Khal,0,2.225,2.225,0,0,0,3,HAVE_NO_CONTRACT,OG
288,5,Manikkhali Khal,0.18,4.655,4.475,0,0,0,3,HAVE_NO_CONTRACT,OG
287,5,Diakul Khal from  km 1.710 to m  4.690=2.980,1.7,4.69,2.99,0,0,0,3,HAVE_NO_CONTRACT,OG
286,12,Irrigation Inlet No-131 in  Dhakua Haor Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
285,12,Irrigation Inlet No-130 in  Dhakua Haor Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
284,12,Irrigation Inlet No-129 in  Dhakua Haor Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
283,12,Irrigation Inlet No-128 in  Dhakua Haor Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
282,12,Irrigation Inlet No-127 in  Dhakua Haor Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
281,12,Irrigation Inlet No-126 in  Dhakua Haor Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
280,12,Irrigation Inlet No-125 in  Dhakua Haor Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
279,12,Irrigation Inlet No-124 in  Dhakua Haor Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
278,12,Irrigation Inlet No-123 in  Dhakua Haor Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
277,3,Irrigation Inlet No-122 in  Jaliar Haor Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
276,3,Irrigation Inlet No-121 in  Jaliar Haor Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
275,3,Irrigation Inlet No-120 in  Jaliar Haor Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
274,3,Irrigation Inlet No-119 in  Jaliar Haor Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
273,4,Irrigation Inlet No-118 in  Dharmapasha Rui Beel Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
272,4,Irrigation Inlet No-117 in  Dharmapasha Rui Beel Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
271,4,Irrigation Inlet No-116 in  Dharmapasha Rui Beel Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
270,4,Irrigation Inlet No-115 in  Dharmapasha Rui Beel Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
269,4,Irrigation Inlet No-114 in  Dharmapasha Rui Beel Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
268,4,Irrigation Inlet No-113 in  Dharmapasha Rui Beel Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
267,4,Irrigation Inlet No-112 in  Dharmapasha Rui Beel Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
266,4,Irrigation Inlet No-111 in  Dharmapasha Rui Beel Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
265,4,Irrigation Inlet No-110 in  Dharmapasha Rui Beel Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
264,4,Irrigation Inlet No-109 in  Dharmapasha Rui Beel Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
263,4,Irrigation Inlet No-108 in  Dharmapasha Rui Beel Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
262,4,Irrigation Inlet No-107 in  Dharmapasha Rui Beel Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
261,4,Irrigation Inlet No-106 in  Dharmapasha Rui Beel Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
260,4,Irrigation Inlet No-105 in  Dharmapasha Rui Beel Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
259,4,Irrigation Inlet No-104 in  Dharmapasha Rui Beel Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
258,11,Irrigation Inlet No-103 in  Ganesh Haor Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
257,11,Irrigation Inlet No-102 in  Ganesh Haor Project ,0,0,0,0,0,0,7,HAVE_NO_CONTRACT,OG
